Spanisch,Deutsch
de,von
que ,Das 
no ,NEIN 
a ,Zu 
la ,Die 
el ,Er 
y ,Und 
es ,Ist 
en ,In 
lo ,Es 
un ,A 
por ,von 
qué ,Das 
me ,Mich 
una ,A 
los ,Die 
se ,ER 
te ,Tee 
con ,mit 
para ,für 
está ,Das 
mi ,Mein 
pero ,Aber 
sí ,Ja 
si ,Ja 
bien ,Gut 
eso ,Das 
su ,sein 
las ,Die 
yo ,ICH 
del ,des 
como ,als 
aquí ,Hier 
tu ,Du 
al ,zum 
más ,weiter 
le ,Du 
esto ,Das 
todo ,alle 
ya ,bereits 
estoy ,Ich bin 
ahora ,Jetzt 
muy ,sehr 
ha ,Ha 
esta ,Das 
así ,Also 
vamos ,Komm schon 
algo ,etwas 
hay ,Es gibt 
bueno ,Also 
tengo ,Ich habe 
él ,Er 
cuando ,Wann 
estás ,Sind 
sé ,ER 
tú ,Du 
nos ,uns 
nada ,Nichts 
cómo ,als 
este ,Das 
o ,entweder 
he ,Ich habe 
ser ,Sei 
tiene ,hat 
puedo ,Ich kann 
ella ,sie 
quiero ,will 
hacer ,Tun 
fue ,War 
gracias ,Danke 
vez ,Zeit 
era ,War 
soy ,Bin 
sólo ,nur 
todos ,alle 
porque ,Weil 
son ,Sind 
tienes ,haben 
creo ,glauben 
voy ,gehen 
sabes ,Du weisst 
estaba ,War 
puede ,dürfen 
eres ,Sind 
ese ,Das 
usted ,Du 
entonces ,Also 
hola ,Hallo 
solo ,nur 
verdad ,WAHR 
casa ,heim 
tan ,Also 
quién ,WHO 
sus ,ihre 
tiempo ,Zeit 
dos ,zwei 
esa ,Das 
nunca ,niemals 
dónde ,Wo 
va ,geht 
oh ,Oh 
favor ,favorisieren 
mucho ,eine Menge 
mí ,Mein 
quieres ,wollen 
siento ,Ich fühle 
señor ,Herr 
mejor ,besser 
hace ,tut 
has ,du hast 
decir ,sagen 
también ,Auch 
sobre ,um 
dios ,Gott 
sin ,ohne 
tenemos ,haben 
están ,Sind 
ti ,Du 
puedes ,dürfen 
ver ,sehen 
hombre ,Mann 
vida ,Leben 
alguien ,jemand 
cosas ,Dinge 
siempre ,stets 
hasta ,bis 
ahí ,Dort 
ir ,gehen 
años ,Jahre 
antes ,vor 
estar ,Sei 
ni ,weder 
poco ,bisschen 
día ,Tag 
uno ,eins 
noche ,Abend 
hecho ,gemacht 
mis ,Mein 
estamos ,wir sind 
otra ,andere 
acuerdo ,Vereinbarung 
trabajo ,Arbeit 
nosotros ,uns 
parece ,scheint 
gente ,Menschen 
sea ,Sei 
padre ,Vater 
mira ,sehen 
mismo ,Dasselbe 
dijo ,sagte 
nadie ,niemand 
quiere ,will 
podría ,könnte 
hablar ,sprechen 
vas ,Du gehst 
ellos ,Sie 
sr. ,Herr. 
tal ,solch 
pasa ,passiert 
fuera ,aus 
después ,nach 
han ,Sie haben 
desde ,aus 
dinero ,Geld 
mundo ,Welt 
claro ,klar 
momento ,Moment 
les ,ihnen 
tener ,haben 
estado ,Zustand 
otro ,andere 
había ,es gab 
mañana ,morgen 
tenía ,hatte 
madre ,Mutter 
vale ,Okay 
lugar ,Ort 
haciendo ,tun 
donde ,Wo 
seguro ,Sicher 
sabe ,wissen 
podemos ,dürfen 
tus ,dein 
espera ,Warten 
